time	Iq_measured	Iq_setpoint
2,546437	0,102702	0,290356
2,558980	0,268670	0,167812
2,570955	0,289330	0,282628
2,582672	0,538177	0,408573
2,594410	0,200132	0,232447
2,606272	0,301036	0,173764
2,618030	-0,016560	0,167491
2,629772	0,441846	0,350494
2,641659	0,180308	0,322362
2,653563	0,330405	0,167888
2,665306	0,080323	0,225796
2,677059	0,371929	0,288051
2,688781	0,410262	0,321908
2,700727	0,391597	0,263603
2,712426	0,106490	0,258747
2,724262	0,287073	0,164034
2,736030	0,333813	0,317658
2,747934	0,294671	0,322929
2,759674	0,202027	0,140039
2,771411	0,355628	0,284991
2,783271	0,470802	0,411125
2,795122	0,320178	0,264170
2,807290	0,164749	0,113343
2,819757	0,242140	0,197778
2,831707	-0,051887	0,321494
2,844486	0,427595	0,292776
2,856436	0,198013	0,196739
2,868698	0,346644	0,346924
2,880416	0,134374	0,257596
2,892289	0,412504	0,292681
2,904042	-0,025674	0,202710
2,915795	0,328990	0,198553
2,927576	0,105745	0,285180
2,939291	0,383143	0,379592
2,951055	0,131619	0,232619
2,962920	0,191045	0,077767
2,974664	0,187042	0,286050
2,986417	0,403538	0,413827
2,998321	0,346399	0,325198
3,010640	0,268500	0,202654
3,022992	0,117723	0,227650
3,035084	0,316667	0,291775
3,046833	0,014222	0,232204
3,058607	0,208321	0,226045
3,070765	0,113054	0,346208
3,082608	0,375022	0,316942
3,094445	0,203247	0,291587
3,106535	0,226807	0,109075
3,118454	0,114470	0,196533
3,130310	0,172468	0,284351
3,142300	0,382272	0,410145
3,154298	0,358401	0,261565
3,166060	0,070014	0,104012
3,177814	0,401312	0,317018
3,189583	0,235853	0,324066
3,201305	0,583089	0,355845
3,213084	0,010398	0,170537
3,224789	0,418211	0,317642
3,236434	0,227566	0,261150
3,248306	0,277414	0,110323
3,260422	0,178176	0,256370
3,272485	0,396621	0,286959
3,284324	0,209435	0,348156
3,296085	0,377670	0,292061
3,308257	0,118933	0,197857
3,321095	0,085997	0,104353
3,333402	0,302766	0,315735
3,345351	0,347750	0,381692
3,357120	0,397255	0,200843
3,368814	0,170679	0,254180
3,380611	0,207607	0,318361
3,392310	0,381501	0,233888
3,404071	0,097522	0,295708
3,415803	0,228042	0,138079
3,427927	0,130482	0,348875
3,439599	0,385675	0,260963
3,451306	0,029246	0,077828
3,463075	0,180122	0,194835
3,474827	0,048065	0,256164
3,486613	0,484100	0,379539
3,498647	0,262361	0,292025
3,510836	0,376985	0,226917
3,522846	0,247091	0,162830
3,535518	0,285915	0,346608
3,547465	0,250599	0,291269
3,559356	0,206622	0,137929
3,571366	0,259979	0,283088
3,583080	0,485190	0,438602
3,594831	0,271976	0,231414
